Ticker,Volatility,LastPrice,Beta
A,0.124049663,138.9299927,1.475025719
AA,0.254988525,47.90000153,3.031968196
AAC,0.010612547,10.27999973,0.126189623
AACG,0.404201286,2.470000029,4.806198401
AACI,0.073207492,10.03999996,0.87048147
AADI,0.235018809,8.220000267,2.794516154
AAIC,0.079462236,2.930000067,0.944854173
AAL,0.198406965,15.88000011,2.359179132
AAMC,0.40695703,58.97999954,4.838965876
AAME,0.25263311,2.414999962,3.003960876
AAN,0.250288994,11.51000023,2.976087925
AAOI,0.36314663,2.809999943,4.318033655
AAON,0.177708952,92.16999817,2.1130672
AAP,0.12136304,129.8300018,1.443080145
AAPL,0.139733696,150.5899963,1.661518384
AAT,0.128832621,21.37999916,1.531897992
AAU,0.202432057,0.194399998,2.407039915
AAWW,0.020695242,100.2799988,0.246078982
ABB,0.109233962,33.93000031,1.298858053
ABBV,0.087167721,147.3500061,1.036477061
ABC,0.08825986,150,1.049463262
ABCB,0.14334757,42.43000031,1.704489536
ABCL,0.232028977,7.869999886,2.758965239
ABCM,0.272869036,14.81999969,3.244578312
ABEO,0.389336147,2.859999895,4.629442889
ABEV,0.130481438,2.619999886,1.551503424
ABG,0.193475802,234.7400055,2.30054461
ABGI,0.007709316,10.18999958,0.091668447
ABIO,0.138755591,2.160000086,1.649888118
ABM,0.111089351,46.13999939,1.320919747
ABNB,0.253128957,119.8399963,3.009856801
ABOS,0.3993321,5.28000021,4.748300833
ABR,0.123146678,14.10999966,1.464288686
ABSI,0.478011601,2,5.683847808
ABST,0.250423593,8.140000343,2.977688387
ABT,0.097229723,97.84999847,1.156120366
ABUS,0.252395875,2.829999924,3.00114001
ABVC,0.647185277,0.639999986,7.695425413
AC,0.169143323,36.00999832,2.011216684
ACA,0.161841795,59.68000031,1.924397085
ACAC,0.020676434,10.47999954,0.245855342
ACAD,0.190862725,20.51000023,2.269473541
ACAH,0.010484303,10.11999989,0.124664726
ACAX,0.016011813,10.30000019,0.190390169
ACB,0.29485062,0.80309999,3.505952681
ACBA,0.054405365,10.80000019,0.646912785
ACCD,0.425766244,12.07999992,5.06261883
ACCO,0.18208785,5.300000191,2.165134954
ACDC,0.325391763,18.79000092,3.869105389
ACDI,0.006031028,10.38,0.071712584
ACEL,0.157562181,8.949999809,1.873509883
ACER,0.566422603,1.700000048,6.735108238
ACET,0.322026053,7.440000057,3.829085048
ACGL,0.096519966,68.37999725,1.147680932
ACHC,0.149315368,69.98999786,1.775450274
ACHL,0.379265869,0.995000005,4.509701174
ACHR,0.363377715,2.829999924,4.320781395
ACHV,0.412137843,4.949999809,4.900568881
ACI,0.061975944,19.93000031,0.736931557
ACIU,0.315604504,2.349999905,3.752728945
ACIW,0.197730086,24.68000031,2.351130631
ACLS,0.200498839,129.5700073,2.384052783
ACLX,0.258255924,27.70999908,3.070819544
ACM,0.092925971,87.72000122,1.104946147
ACMR,0.422122234,12.13000011,5.019289343
ACN,0.14110544,259.7600098,1.677829254
ACNB,0.156975817,34.84999847,1.866537659
ACNT,0.291789034,9.010000229,3.469548561
ACON,0.785549997,0.680000007,9.340665833
ACOR,0.462538202,0.812699974,5.499859709
ACQR,0.0067305,10.20499992,0.080029726
ACR,0.240385972,9.029999733,2.85833498
ACRE,0.182817799,10.23999977,2.173814499
ACRO,0.040678262,10.1182003,0.483689207
ACRS,0.663552068,7.659999847,7.890036482
ACRV,0.453358771,21.34000015,5.390710719
ACRX,0.334765412,1.149999976,3.980563763
ACST,0.460838286,0.468499988,5.479646687
ACT,0.138350397,23.45999908,1.645070122
ACTG,0.152433281,4.429999828,1.812524151
ACU,0.152012486,25.95999908,1.807520639
ACVA,0.315589146,12.47999954,3.752546325
ACXP,0.28341969,3.390000105,3.370031986
ADAG,0.393613482,1.610000014,4.680302999
ADAL,0.006593588,10.40999985,0.078401756
ADAP,0.496305429,1.190000057,5.901372526
ADBE,0.168390909,338.3699951,2.002270029
ADC,0.088344677,69.40000153,1.050471781
ADCT,0.446225729,2.789999962,5.305894513
ADD,0.372486051,2.329999924,4.429085028
ADEA,0.178235395,9.079999924,2.119326936
ADER,0.033445088,10.39999962,0.397682379
ADES,0.36917742,2.5,4.389743397
ADEX,0.034208251,10.23999977,0.406756845
ADI,0.13923366,183.5599976,1.655572651
ADIL,0.624559283,0.559800029,7.426388625
ADM,0.100301944,77.98999786,1.192650939
ADMA,0.219743481,3.279999971,2.61288324
ADMP,0.584134282,0.137099996,6.945710841
ADN,0.311654215,1.549999952,3.705757611
ADNT,0.176053354,42.56999969,2.093381145
ADOC,0.028345567,10.69999981,0.337045986
ADP,0.114469471,218.9799957,1.361111426
ADPT,0.377281586,8.220000267,4.486106848
ADRA,0.910731676,4.400000095,10.82915192
ADRT,0.01071522,10.41699982,0.127410462
ADSE,0.322624061,2.940000057,3.836195732
ADSK,0.210744358,200.4900055,2.505878221
ADT,0.148910862,7.630000114,1.770640455
ADTH,0.323273137,1.529999971,3.843913634
ADTN,0.174367186,16.28000069,2.073331577
ADTX,0.537934596,1.059999943,6.396368557
ADUS,0.119344216,100.6800003,1.419075096
ADV,0.363479967,2.069999933,4.321997233
ADVM,0.283644495,0.810000002,3.372705059
ADXN,0.537915631,1.429999948,6.396143061
AE,0.249873431,53.79000092,2.971146628
AEAC,0.004607416,10.13,0.054784971
AEAE,0.010958564,10.35000038,0.130303966
AEE,0.09308873,82.66000366,1.106881449
AEG,0.131620829,5.039999962,1.56505148
AEHA,1.200211694,4.690000057,14.27124487
AEHL,0.503606279,0.829999983,5.988184052
AEHR,0.505452554,31.93000031,6.010137378
AEI,0.5827604,1.639999986,6.929374557
AEIS,0.177226893,94.61000061,2.107335227
AEL,0.205445189,39.18999863,2.442867888
AEM,0.158589288,44.95999908,1.885722803
AEMD,0.655925105,0.439999998,7.79934726
AENZ,0.332603717,2.650099993,3.954859891
AEO,0.194921336,13.73999977,2.31773289
AEP,0.096115876,88.76000214,1.142876047
AER,0.144090408,57.33000183,1.713322326
AES,0.12843563,24.29000092,1.52717753
AEVA,0.394786012,1.620000005,4.694245087
AEY,0.159184246,1.379999995,1.892797215
AEYE,0.408780574,5.284999847,4.860648912
AEZS,0.21507638,2.920000076,2.557388588
AFBI,0.106793173,15.34000015,1.269835584
AFCG,0.131460985,14,1.563150835
AFG,0.104640177,124.3499985,1.24423516
AFIB,0.597537837,0.99000001,7.105087247
AFL,0.106572475,64.83999634,1.267211353
AFMD,0.297008158,0.856599987,3.531607113
AFRI,0.188614669,11.09000015,2.242742791
AFRM,0.558420925,11.31000042,6.639963433
AFTR,0.00814074,10.18000031,0.09679834
AFYA,0.241315843,12.01000023,2.869391712
AG,0.22160266,6.03000021,2.634990015
AGAC,0.007691248,10.19999981,0.091453599
AGAE,0.254103572,1.370000005,3.021445562
AGBA,0.941917781,2.099999905,11.19997362
AGCO,0.117238125,137.3099976,1.394032399
AGE,0.346434572,0.620000005,4.119317149
AGEN,0.321707334,1.649999976,3.825295297
AGFS,0.02679459,2.980000019,0.318603923
AGFY,1.377496031,0.343400002,16.37926315
AGGR,0.004855475,10.18999958,0.057734538
AGI,0.137075228,9.850000381,1.62990758
AGIL,0.254486585,4.139999866,3.025999821
AGIO,0.21223898,22.60000038,2.523650174
AGL,0.271768316,23.67000008,3.231490085
AGLE,0.47290447,0.416000009,5.623120932
AGM,0.143587109,135.1999969,1.707337803
AGMH,0.183703325,1.659999967,2.184343934
AGNC,0.121765696,10.44999981,1.447867966
AGO,0.120024268,55.29999924,1.427161329
AGR,0.103700105,38.81999969,1.233057132
AGRI,0.507118835,0.99000001,6.029950472
AGRO,0.187794322,7.730000019,2.232988373
AGRX,0.392686007,0.230000004,4.669274754
AGS,0.198865693,6.349999905,2.36463369
AGTI,0.240567147,15.48999977,2.860489263
AGX,0.119465039,41.36000061,1.420511755
AGYS,0.221058686,82.48999786,2.628521835
AHCO,0.369753845,14.56000042,4.396597448
AHG,0.388922621,0.400999993,4.62452582
AHH,0.123824666,12.47999954,1.472350364
AHI,0.395239904,0.418799996,4.699642139
AHPI,4.462275031,0.0036,53.05915614
AHRN,0.007226625,10.38000011,0.085928955
AHT,0.300517512,4.039999962,3.573335463
AI,0.58374507,22.70000076,6.94108288
AIB,0.030851924,10.51000023,0.36684809
AIG,0.102715254,55.79999924,1.221346657
AIH,0.413028022,1.330000043,4.911153651
AIHS,0.312139373,0.885500014,3.711526438
AIM,0.586616431,0.473100007,6.975225098
AIMC,0.017976828,61.54999924,0.213755389
AIMD,0.450629804,0.699999988,5.358261644
AIN,0.122626374,95.91000366,1.458101949
AINC,0.248633777,13.14000034,2.956406379
AIP,0.409428681,4.945000172,4.868355301
AIR,0.136668775,53.95000076,1.625074618
AIRC,0.118808106,36.59999847,1.412700432
AIRG,0.184267205,6.900000095,2.191048815
AIRI,0.318733231,4.690000057,3.789931397
AIRS,0.39228717,5.639999866,4.664532344
AIRT,0.217818454,20.61000061,2.589993505
AIT,0.167063462,142,1.986485869
AIU,0.238466507,1.059900045,2.835511379
AIV,0.135870785,7.610000134,1.615586023
AIZ,0.106695374,119.8799973,1.268672705
AJG,0.088535479,185.4499969,1.05274053
AJRD,0.024111601,56.00999832,0.286701552
AJX,0.147049864,7.150000095,1.748512059
AKA,0.262071538,1.330000043,3.116189508
AKAM,0.152509633,73.69999695,1.813432025
AKAN,0.908391667,1.330000043,10.80132779
AKBA,0.736112363,0.800700009,8.752822387
AKLI,0.740519872,1.649999976,8.805230341
AKR,0.154988118,13.78999996,1.842902715
AKRO,0.350335231,43.84999847,4.165698345
AKTS,0.406127954,3.690000057,4.829107652
AKTX,0.396106316,0.290499985,4.709944298
AKU,0.463955069,0.842800021,5.516707117
AKYA,0.325980177,10.48999977,3.876101988
AL,0.131695802,39.72000122,1.56594295
ALB,0.238581655,236.75,2.836880555
ALBO,0.685567865,44.15,8.151817659
ALBT,0.73268823,2.474999905,8.71210737
ALC,0.106220513,65.55000305,1.263026314
ALCC,0.01140521,10.10999966,0.135614859
ALCO,0.157662287,25.23999977,1.874700206
ALDX,0.270343541,7.900000095,3.214548642
ALE,0.092403511,61.11000061,1.098733787
ALEC,0.251796035,7.159999847,2.994007547
ALEX,0.115154013,18.60000038,1.369251049
ALG,0.163635621,178.2400055,1.945726767
ALGM,0.212221075,45.22000122,2.52343728
ALGN,0.307190406,321.6400146,3.652680213
ALGS,0.589482934,1.360000014,7.00930956
ALGT,0.293554194,100.7699966,3.49053738
ALHC,0.330938147,6.5,3.935055257
ALIM,0.414533355,1.980000019,4.929052976
ALIT,0.199024305,9.020000458,2.366519677
ALK,0.148553037,47.52000046,1.766385701
ALKS,0.152960837,26.89999962,1.818797113
ALKT,0.159491559,14.68000031,1.896451351
ALL,0.11786803,119.4000015,1.40152236
ALLE,0.120168899,111.5,1.428881083
ALLG,0.33758849,4.119999886,4.014131862
ALLK,0.354539626,5.659999847,4.215691158
ALLO,0.328727062,5.789999962,3.908764115
ALLR,0.707353778,0.166999996,8.410865373
ALLT,0.237747748,2.720000029,2.8269649
ALLY,0.263109801,27.37999916,3.128535084
ALNY,0.175387573,185.9499969,2.085464596
ALOR,0.012788023,10.34500027,0.152057344
ALOT,0.134898965,12.85999966,1.604030497
ALPA,0.015070398,10.09000015,0.179196171
ALPN,0.317654751,7.869999886,3.777107625
ALPP,0.317684659,0.550000012,3.777463249
ALPS,0.468708959,1.980000019,5.573233756
ALR,0.600645155,1.320000052,7.142035138
ALRM,0.163883665,50.11999893,1.948676162
ALRN,0.754162219,1.360000014,8.967446128
ALRS,0.163749073,18.67000008,1.947075776
ALSA,0.012539344,10.44999981,0.149100403
ALSN,0.129028073,47.29000092,1.534222028
ALT,0.440279497,11.36999989,5.235190216
ALTG,0.123932928,19.27000046,1.473637675
ALTI,0.779191224,11.61999989,9.265056173
ALTO,0.259469507,2.829999924,3.085249784
ALTR,0.197196384,65.77999878,2.344784586
ALTU,0.014136521,10.05529976,0.168091808
ALV,0.139244173,93.55000305,1.655697652
ALVO,0.253122724,12.85000038,3.009782687
ALVR,0.402570477,4.869999886,4.786807101
